time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-15T16:17:21.520Z,36.7033348,-121.3368301,4.88,3.62,mw,62,48,0.06294,0.07,nc,nc72677741,2016-08-15T20:25:43.048Z,"12km SSE of Ridgemark, California",earthquake,0.13,0.51,,5,reviewed,nc,nc
2016-08-15T16:16:27.000Z,65.4196,-144.7398,5,1.5,ml,,,,0.76,ak,ak13846068,2016-08-15T16:26:17.462Z,"6km SSW of Circle Hot Springs Station, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-08-15T16:06:10.000Z,61.7192,-150.873,50,2,ml,,,,0.37,ak,ak13846064,2016-08-15T16:19:20.014Z,"44km W of Willow, Alaska",earthquake,0.4,0.9,,,automatic,ak,ak
2016-08-15T16:00:50.480Z,33.6825,-116.9208333,12.47,0.83,ml,26,40,0.005203,0.12,ci,ci37446703,2016-08-15T18:21:57.098Z,"8km SSW of Valle Vista, CA",earthquake,0.23,0.32,0.113,21,reviewed,ci,ci
2016-08-15T15:59:09.420Z,34.4393333,-119.2778333,4.92,1.59,ml,13,80,0.04566,0.16,ci,ci37446687,2016-08-15T16:03:02.994Z,"3km WSW of Ojai, CA",earthquake,0.48,0.65,0.459,31,automatic,ci,ci
2016-08-15T15:58:46.540Z,36.3168335,-120.3454971,38.47,1.77,md,6,136,0.02737,0.32,nc,nc72677721,2016-08-15T16:00:23.180Z,"19km N of Coalinga, California",earthquake,4.58,8.73,0.2,5,automatic,nc,nc
2016-08-15T15:58:10.660Z,33.502,-116.524,9.22,0.91,ml,31,67,0.05566,0.18,ci,ci37446679,2016-08-15T18:22:53.810Z,"15km ESE of Anza, CA",earthquake,0.23,0.45,0.184,24,reviewed,ci,ci
2016-08-15T15:47:19.910Z,37.2362,-116.0226,5.8,0.2,ml,8,262.28,0.053,0.1404,nn,nn00556292,2016-08-15T16:19:43.298Z,"74km ENE of Beatty, Nevada",earthquake,,2.2,0.16,3,reviewed,nn,nn
2016-08-15T15:46:23.540Z,33.6801667,-116.9241667,12.8,0.64,ml,22,68,0.006901,0.18,ci,ci37446663,2016-08-15T18:22:12.714Z,"8km SSW of Valle Vista, CA",earthquake,0.38,0.5,0.157,13,reviewed,ci,ci
2016-08-15T15:35:54.560Z,37.9261,-118.6435,4.4,0.6,ml,12,106.01,0.063,0.1384,nn,nn00556318,2016-08-15T17:52:39.183Z,"42km NE of Mammoth Lakes, California",earthquake,,3.1,0.18,2,reviewed,nn,nn
2016-08-15T15:28:07.470Z,45.8512,142.8655,44.92,4.7,mb,,85,1.11,0.54,us,us10006dx1,2016-08-15T17:24:43.887Z,"87km S of Korsakov, Russia",earthquake,4.8,6.7,0.041,178,reviewed,us,us
2016-08-15T15:20:32.000Z,63.0011,-150.589,120,1.4,ml,,,,0.35,ak,ak13846060,2016-08-15T15:35:37.763Z,"79km NNW of Talkeetna, Alaska",earthquake,0.5,0.7,,,automatic,ak,ak
2016-08-15T15:19:11.470Z,33.4405,-116.4311667,12.9,0.78,ml,23,93,0.08281,0.21,ci,ci37446639,2016-08-15T18:22:26.365Z,"21km NNW of Borrego Springs, CA",earthquake,0.41,0.88,0.113,20,reviewed,ci,ci
