time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-18T17:21:28.800Z,18.009,-68.2806,39,3.4,Md,16,216,0.5111414,0.62,pr,pr16231012,2016-08-18T18:58:27.040Z,"53km SE of Boca de Yuma, Dominican Republic",earthquake,3.9,9.3,0,10,reviewed,pr,pr
2016-08-18T17:13:58.540Z,36.3708,-97.7138,3.9,2.7,mb_lg,,43,0.238,0.15,us,us10006es7,2016-08-18T18:39:07.102Z,"15km E of Enid, Oklahoma",earthquake,1.1,3.4,0.096,28,reviewed,us,us
2016-08-18T16:54:09.730Z,-27.7824,-176.2002,10,4.9,mb,,120,2.106,1.33,us,us10006esd,2016-08-19T18:31:36.040Z,"233km NE of Raoul Island, New Zealand",earthquake,7.8,1.8,0.091,38,reviewed,us,us
2016-08-18T16:25:07.800Z,-22.9036,173.3033,9.7,5.2,mb,,46,5.087,1.1,us,us10006erv,2016-08-19T18:28:21.040Z,"140km ESE of Ile Hunter, New Caledonia",earthquake,7.6,2.5,0.049,138,reviewed,us,us
2016-08-18T16:24:42.840Z,-22.9645,173.1741,10,4.6,mb,,81,4.989,1.24,us,us10006es2,2016-08-19T17:09:59.040Z,"131km ESE of Ile Hunter, New Caledonia",earthquake,6,1.9,0.092,35,reviewed,us,us
2016-08-18T15:54:29.340Z,-20.3507,-176.008,198.96,4.7,mb,,59,5.866,0.88,us,us10006eqw,2016-08-19T16:56:02.040Z,"120km NW of Nuku`alofa, Tonga",earthquake,9.7,6.8,0.068,65,reviewed,us,us
2016-08-18T15:25:16.450Z,-28.1446,-176.3559,40.77,5,mb,,98,1.764,0.84,us,us10006eqh,2016-08-19T15:37:48.040Z,"195km NE of Raoul Island, New Zealand",earthquake,13.1,5.7,0.076,56,reviewed,us,us
2016-08-18T14:11:46.360Z,46.5395,-121.6138333,0.45,2.77,ml,27,208,0.2506,0.09,uw,uw61180827,2016-08-19T17:22:34.262Z,"8km SSE of Packwood, Washington",earthquake,0.52,31.61,0.153,119,reviewed,uw,uw
2016-08-18T11:19:17.950Z,-7.4322,128.2373,160.15,5.4,mb,,33,3.083,0.83,us,us10006ent,2016-08-18T21:27:44.000Z,"Kepulauan Barat Daya, Indonesia",earthquake,7.6,5.4,0.045,171,reviewed,us,us
2016-08-18T10:55:04.500Z,17.9015,-67.0917,10,2.5,Md,5,280.8,0.1060012,0.17,pr,pr16231010,2016-08-18T12:28:21.561Z,"9km SSW of La Parguera, Puerto Rico",earthquake,1.1,0.8,0,3,reviewed,pr,pr
2016-08-18T09:39:15.800Z,18.9235,-67.4197,7,2.9,Md,8,302.4,0.53898917,0.21,pr,pr16231009,2016-08-18T12:24:50.666Z,"58km NW of San Antonio, Puerto Rico",earthquake,2,2,0,7,reviewed,pr,pr
2016-08-18T09:12:58.100Z,39.3160019,-122.7740021,10.18,2.52,md,26,43,0.1324,0.17,nc,nc72679461,2016-08-18T09:14:50.154Z,"20km NE of Upper Lake, California",earthquake,0.28,0.57,0.14,20,automatic,nc,nc
2016-08-18T07:54:03.450Z,-6.2447,149.9791,55.03,5.2,mb,,28,2.982,1.03,us,us10006en6,2016-08-18T08:12:10.142Z,"47km E of Kandrian, Papua New Guinea",earthquake,8.1,6.6,0.069,69,reviewed,us,us
2016-08-18T07:41:43.150Z,15.2341,-91.832,184.2,4.4,mb,,159,0.328,0.94,us,us10006en5,2016-08-18T08:14:54.479Z,"6km NE of Ixchiguan, Guatemala",earthquake,12,9.4,0.117,21,reviewed,us,us
2016-08-18T07:32:34.940Z,73.2809,6.3606,10,4.5,mb,,81,5.497,0.72,us,us10006en1,2016-08-18T07:49:44.409Z,"Greenland Sea",earthquake,8.2,1.9,0.086,39,reviewed,us,us
2016-08-18T06:29:45.000Z,59.5366,-152.3193,50,3.1,ml,,,,0.63,ak,ak13848587,2016-08-18T19:17:40.377Z,"38km SW of Anchor Point, Alaska",earthquake,0.3,0.5,,,automatic,ak,ak
2016-08-18T04:30:23.260Z,32.6006667,-117.0703333,15.84,2.63,ml,37,143,0.09125,0.19,ci,ci37449223,2016-08-19T04:05:28.327Z,"4km SW of Chula Vista, CA",earthquake,0.33,0.28,0.107,102,reviewed,ci,ci
2016-08-18T04:30:08.750Z,-19.8593,148.7255,7.82,5.7,mb,,33,2.335,0.79,us,us10006em9,2016-08-19T17:55:22.425Z,"54km ENE of Bowen, Australia",earthquake,7.1,4.5,0.062,95,reviewed,us,us
2016-08-18T04:11:34.000Z,60.0628,-138.5516,15,3.1,ml,,,,0.95,ak,ak13848213,2016-08-18T04:25:07.645Z,"87km NE of Yakutat, Alaska",earthquake,0.5,0.5,,,automatic,ak,ak
2016-08-18T03:53:54.000Z,18.6676,-67.5,5,2.7,Md,7,324,0.41771661,0.31,pr,pr16231006,2016-08-18T07:38:42.497Z,"44km NW of Rincon, Puerto Rico",earthquake,2.1,2.3,0,4,reviewed,pr,pr
2016-08-18T03:39:54.830Z,36.3993333,-117.8653333,1.68,3.54,mw,33,52,0.1589,0.16,ci,ci37449175,2016-08-19T06:16:01.175Z,"18km NE of Olancha, CA",earthquake,0.19,0.82,,6,reviewed,ci,ci
2016-08-18T03:34:12.000Z,19.0109,-65.0335,38,3,Md,8,266.4,0.66026173,0.23,pr,pr16231005,2016-08-18T07:23:54.228Z,"74km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,5,14.7,0,5,reviewed,pr,pr
2016-08-18T03:29:49.260Z,-22.4555,172.3937,10,5,mb,,119,5.499,0.62,us,us10006elr,2016-08-18T04:14:37.892Z,"35km E of Ile Hunter, New Caledonia",earthquake,6.5,1.9,0.087,42,reviewed,us,us
2016-08-18T02:00:58.600Z,19.5396,-67.5757,29,2.7,Md,6,270,1.15253851,0.37,pr,pr16231002,2016-08-18T06:09:34.695Z,"126km NNW of San Antonio, Puerto Rico",earthquake,2.6,26.7,0,5,reviewed,pr,pr
2016-08-18T00:34:11.450Z,-7.4171,128.1539,154.46,4.4,mb,,58,3.167,0.91,us,us10006el7,2016-08-18T00:51:46.348Z,"Kepulauan Barat Daya, Indonesia",earthquake,5.2,7.6,0.098,30,reviewed,us,us
2016-08-18T00:11:21.300Z,-27.4841,-70.8263,49.35,4.3,mb,,170,0.437,0.87,us,us10006el4,2016-08-18T00:31:32.842Z,"50km WSW of Copiapo, Chile",earthquake,5.1,6.9,0.306,3,reviewed,us,us
2016-08-17T22:58:19.750Z,30.5023,66.435,10,4.4,mb,,143,5.248,1.07,us,us10006eks,2016-08-17T23:33:52.171Z,"33km SW of Qila Abdullah, Pakistan",earthquake,5.9,1.9,0.094,33,reviewed,us,us
2016-08-17T22:37:07.730Z,8.6099,-70.6286,10,4.8,mb,,49,0.272,1.07,us,us10006ekp,2016-08-17T23:36:09.588Z,"19km NNW of Curbati, Venezuela",earthquake,5.6,1.9,0.035,258,reviewed,us,us
2016-08-17T22:26:19.240Z,-15.8859,173.4863,10,5.2,mb,,50,4.748,0.92,us,us10006ekl,2016-08-17T22:45:53.389Z,"Fiji region",earthquake,4.8,1.9,0.043,181,reviewed,us,us
2016-08-17T22:14:15.890Z,-15.9754,173.5901,10,5,mb,,64,4.621,0.98,us,us10006ekj,2016-08-17T23:05:36.221Z,"Fiji region",earthquake,5.2,1.9,0.068,69,reviewed,us,us
2016-08-17T21:39:23.100Z,17.919,-65.642,1,2.9,Md,13,169.2,0.29644404,0.27,pr,pr16230005,2016-08-17T21:57:41.066Z,"25km ESE of El Negro, Puerto Rico",earthquake,0.6,0.7,0,13,reviewed,pr,pr
