depth,mag,magType,nst,gap,dmin,,,,,place,,horizontalError,depthError,magError,magNst
14.17,0.57,ml,21,58,0.03043,,,,,"6km NE of Anza, CA",,0.17,0.3,0.114,15
7.59,3.1,mb_lg,,74,0.241,,,,,"20km SSE of Tonkawa, Oklahoma",,1.4,7.4,0.055,86
-0.44,1.37,ml,7,123,0.2308,,,,,"14km SSW of Veneta, Oregon",,0.58,31.61,0.168,6
73,1.8,Md,3,316.8,0.65397353,,,,,"74km N of Charlotte Amalie, U.S. Virgin Islands",,6,6.8,0,3
14.28,1.4,ml,50,33,0.04189,,,,,"8km S of Idyllwild, CA",,0.15,0.22,0.154,22
12.369,1.46,md,50,45,0.01516,,,,,"3km SSW of Volcano, Hawaii",,0.36,0.23,0.11,23
5,2.6,mb_lg,,90,0.053,,,,,"36km E of Mooreland, Oklahoma",,1.5,1.8,0.075,46
128.56,4.6,mb,,162,3.134,,,,,"32km NNE of Pagan, Northern Mariana Islands",,15,8.5,0.047,134
15,1.3,ml,,,,,,,,"65km SE of Chitina, Alaska",,0.4,0.4,,
5.71,2.7,mb_lg,,75,0.248,,,,,"20km SSE of Tonkawa, Oklahoma",,1,7.1,0.067,58
76.7,4.7,mb,,41,1.274,,,,,"66km SSE of Adipala, Indonesia",,6.5,7,0.078,50
13.76,1.77,ml,17,190,0.1168,,,,,"11km E of Riverbend, Washington",,0.89,1.19,0.258,27
10,4.8,mb,,111,3.386,,,,,"133km ESE of Kirakira, Solomon Islands",,10.6,1.9,0.1,31
2.4,1.83,ml,56,34,0.1444,,,,,"14km N of Ocotillo Wells, CA",,0.24,0.85,0.184,26
28.261,1.6,md,27,92,0.005596,,,,,"6km S of Volcano, Hawaii",,0.76,0.88,0.106,17
5.62,1.27,ml,45,48,0.05553,,,,,"4km ENE of Banning, CA",,0.13,0.4,0.144,24
1.9,1.23,md,19,73,0.00637,,,,,"9km NW of The Geysers, California",,0.23,0.37,0.13,4
15,1,ml,,,,,,,,"12km N of North Nenana, Alaska",,0.2,0.1,,
5,1.3,ml,,,,,,,,"108km ENE of Arctic Village, Alaska",,3,0.8,,
79.16,4.4,mb,,116,0.464,,,,,"9km SSW of Hachinohe, Japan",,4.7,6.1,0.075,52
2.8,1.2,ml,27,62.9,0.02,,,,,"56km ENE of Beatty, Nevada",,,1.1,0.35,11
8.88,1.5,md,18,72,0.001199,,,,,"2km ENE of Berkeley, California",,0.27,0.48,0.25,15
7.35,1.66,ml,45,37,0.07263,,,,,"1km SW of Ontario, CA",,0.29,0.92,0.142,28
15,0.7,ml,,,,,,,,"4km SSW of College, Alaska",,0.3,0.3,,
15,0.6,ml,,,,,,,,"4km SSW of College, Alaska",,0.2,0.3,,
6.8,0.7,ml,8,194.71,0.076,,,,,"18km E of Alamo, Nevada",,,4,0.76,3
8,-0.2,ml,5,162.56,0.061,,,,,"46km ESE of Beatty, Nevada",,,4.3,0.39,2
4.7,0.1,ml,6,215.29,0.264,,,,,"30km ESE of Big Pine, California",,,11,0.14,4
44.2,3,ml,,,,,,,,"78km SE of Adak, Alaska",,5,7.3,,
8.8,0.8,ml,,,,,,,,"99km NNW of Nikiski, Alaska",,1.3,1,,
5.96,1.1,md,5,144,0.171,,,,,"11km NE of Gold Bar, Washington",,0.65,1.23,0.025,2
6.32,0.71,ml,11,105,0.1412,,,,,"18km ESE of Julian, CA",,0.46,1.99,0.181,7
2.17,0.57,md,7,138,0.008589,,,,,"9km WNW of Cobb, California",,1,1.54,,1
90,0.3,ml,,,,,,,,"96km ESE of Old Iliamna, Alaska",,24.6,15.2,,
6.85,1.34,md,11,177,0.0565,,,,,"22km SE of Mammoth Lakes, California",,0.43,0.84,0.15,12
40,1.2,ml,,,,,,,,"14km SSW of Anchorage, Alaska",,0.5,0.6,,
7.59,0.54,ml,9,105,0.04499,,,,,"8km N of Claremont, CA",,0.18,0.4,0.144,5
15,1.1,ml,,,,,,,,"54km ENE of Cantwell, Alaska",,0.5,0.4,,
42,2,Md,3,345.6,0.45993743,,,,,"51km NE of Road Town, British Virgin Islands",,4.9,3,0,2
90,1.4,ml,,,,,,,,"38km SSE of Redoubt Volcano, Alaska",,1.1,1.9,,
10,2,Md,5,316.8,0.46622563,,,,,"51km NNE of Road Town, British Virgin Islands",,3.5,2.6,0,5
17,2.6,Md,5,316.8,0.5228195,,,,,"58km NE of Road Town, British Virgin Islands",,5,10.1,0,5
24,2.7,Md,11,313.2,0.53449759,,,,,"59km NNE of Road Town, British Virgin Islands",,2.3,13.3,0,7
50,1.9,ml,,,,,,,,"11km S of Anchorage, Alaska",,0.3,0.7,,
0,0.6,ml,10,176.57,0.123,,,,,"2km NNW of Dixon Lane-Meadow Creek, California",,,0,0.12,2
30,1.7,ml,,,,,,,,"48km ENE of Sutton-Alpine, Alaska",,0.2,0.1,,
11.3,0.8,ml,,,,,,,,"97km WNW of Cantwell, Alaska",,0.6,0.2,,
40.103,2,md,48,113,0.05458,,,,,"2km E of Pahala, Hawaii",,0.6,0.8,0.143,22
21.43,4.3,mwr,,146,0.946,,,,,"102km WNW of Iquique, Chile",,5.5,6.9,0.05,39
14.24,0.82,ml,42,63,0.07616,,,,,"2km ESE of Loma Linda, CA",,0.21,0.4,0.087,16
4.8,0.7,ml,12,105.41,0.071,,,,,"42km NNE of Mammoth Lakes, California",,,5.4,0.12,4
4.78,1.96,md,24,55,0.00931,,,,,"18km SSE of Ridgemark, California",,0.19,0.66,0.16,21
100,2,ml,,,,,,,,"69km W of Anchor Point, Alaska",,0.3,0.4,,
5.5,0.4,ml,10,174.63,0.12,,,,,"37km ENE of Big Pine, California",,,4.5,0.32,4
5.4,-0.1,ml,10,143.22,0.031,,,,,"69km E of Beatty, Nevada",,,1.8,0.96,4
12.09,0.64,ml,14,178,0.1125,,,,,"13km N of Borrego Springs, CA",,0.44,1.11,0.098,11
10,1.3,ml,,,,,,,,"45km ENE of Cantwell, Alaska",,0.3,0.4,,
2.95,1.33,ml,17,130,0.1724,,,,,"20km SE of Bodfish, CA",,0.32,1.12,0.129,20
1.49,0.93,md,8,136,0.00433,,,,,"5km E of The Geysers, California",,0.46,0.58,0.33,5
8.09,1.01,md,32,125,0.01541,,,,,"1km W of Crockett, California",,0.18,0.26,0.141,21
-0.19,0.27,ml,8,85,0.02417,,,,,"27km NNW of Packwood, Washington",,0.31,1.38,0.263,4
